resp_id,a_hhid,plot,plot_id,district,village,treatment,plot_gpslatitude,plot_gpslongitude,plot_gpsaltitude,plot_gpsaccuracy,mon_paddy,harvested,manage_status,manage_type1,manage_type2,burnt,burn_technique,burn_technique_1,burn_technique_2,burn_technique_3,burn_technique_4,burn_technique_5,burn_technique_6,burn_technique_7,sowed,comments,village_id,spotcheck_date
101200141,10120014,1,p1,Bathinda,Aklia Jalal,PES + 50% UCT 800/acres,30.51297188,75.16953278,207.1999969,4.800000191,Yes,Yes,Stubble managed,Burnt,,1,3,0,0,1,0,0,0,0,No,,1005,11/14/19
101200271,10120027,1,p1,Bathinda,Aklia Jalal,PES + 50% UCT 800/acres,30.52646446,75.13352966,219.1999969,4.699999809,Yes,Yes,Stubble managed,Incorporated stubble into the soil,,0,,,,,,,,,Yes,,1005,11/11/19
101200291,10120029,1,p1,Bathinda,Aklia Jalal,PES + 50% UCT 800/acres,30.51086998,75.1447525,207.1000061,4.800000191,Yes,Yes,Stubble managed,Incorporated stubble into the soil,,0,,,,,,,,,No,,1005,11/11/19
101201601,10120160,3,p3,Bathinda,Aklia Jalal,PES + 50% UCT 800/acres,30.51344299,75.16113281,227.3999939,4.900000095,Yes,Yes,Stubble managed,Incorporated stubble into the soil,,0,,,,,,,,,No,,1005,11/11/19
101201651,10120165,1,p1,Bathinda,Aklia Jalal,PES + 50% UCT 800/acres,30.51080132,75.16374207,184,4.900000095,Yes,Yes,Stubble managed,Can't determine,,0,,,,,,,,,No,,1005,11/12/19
101400021,10140002,1,p1,Bathinda,Amarpura Urf Gurthuri,PES 1600 /acres,30.04421997,74.83109283,195.6000061,4.300000191,Yes,Yes,Stubble managed,Burnt,,1,1 5 6,1,0,0,0,1,1,0,No,Ok,1007,11/12/19
101400031,10140003,2,p2,Bathinda,Amarpura Urf Gurthuri,PES 1600 /acres,30.04645538,74.82575989,188.3000031,4,Yes,Yes,Stubble managed,Used CRM machine,,0,,,,,,,,,Yes,Ok,1007,11/10/19
101400071,10140007,1,p1,Bathinda,Amarpura Urf Gurthuri,PES 1600 /acres,30.05290794,74.8306427,199.8999939,3.900000095,Yes,Yes,Stubble managed,Used CRM machine,,0,,,,,,,,,No,Ok,1007,11/10/19
101400291,10140029,2,p2,Bathinda,Amarpura Urf Gurthuri,PES 1600 /acres,30.03606987,74.82337189,186.3999939,4.699999809,Yes,Yes,Stubble managed,Burnt,,1,1 2 5,1,1,0,0,1,0,0,No,Ok,1007,11/10/19
101400471,10140047,1,p1,Bathinda,Amarpura Urf Gurthuri,PES 1600 /acres,30.04022026,74.82891846,190.3000031,4.800000191,Yes,Yes,Stubble managed,Incorporated stubble into the soil,,0,,,,,,,,,No,Ok,1007,11/14/19
101400481,10140048,2,p2,Bathinda,Amarpura Urf Gurthuri,PES 1600 /acres,30.04760361,74.8399353,191.8999939,3.900000095,Yes,Yes,Stubble managed,Burnt,,1,1 5,1,0,0,0,1,0,0,No,Ok,1007,11/14/19
101400731,10140073,1,p1,Bathinda,Amarpura Urf Gurthuri,PES 1600 /acres,30.03334618,74.81682587,185.6000061,4.800000191,No,,,,,,,,,,,,,,,Cottan in the plot,1007,11/10/19
101400741,10140074,1,p1,Bathinda,Amarpura Urf Gurthuri,PES 1600 /acres,30.0587635,74.84915161,37.79999924,4.599999905,Yes,Yes,Stubble managed,Created bales,,0,,,,,,,,,Yes,Ok,1007,11/14/19
101400811,10140081,1,p1,Bathinda,Amarpura Urf Gurthuri,PES 1600 /acres,30.05749893,74.85800171,207,4.699999809,Yes,Yes,Stubble managed,Created bales,,0,,,,,,,,,Yes,Ok,1007,11/10/19
101400831,10140083,2,p2,Bathinda,Amarpura Urf Gurthuri,PES 1600 /acres,30.04005814,74.82988739,195.6000061,4.699999809,Yes,Yes,Stubble managed,Created bales,,0,,,,,,,,,No,Ok,1007,11/14/19
101400971,10140097,1,p1,Bathinda,Amarpura Urf Gurthuri,PES 1600 /acres,30.04947281,74.83508301,187.8999939,4.5,Yes,Yes,Stubble managed,Burnt,,1,1 3 6,1,0,1,0,0,1,0,Yes,Ok,1007,11/14/19
101401011,10140101,1,p1,Bathinda,Amarpura Urf Gurthuri,PES 1600 /acres,30.05037498,74.84468079,196.8000031,4.800000191,Yes,Yes,Stubble managed,Burnt,,1,1 3 7,1,0,1,0,0,0,1,No,Ok,1007,11/14/19
102300061,10230006,2,p2,Bathinda,Balianwali,PES + 25% UCT 800/acres,30.15912247,75.19239807,202.3000031,4,No,,,,,,,,,,,,,,,Cotton plot,1015,11/11/19
102300691,10230069,2,p2,Bathinda,Balianwali,PES + 25% UCT 800/acres,30.19242859,75.1842041,195.6000061,4.099999905,Yes,Yes,Stubble managed,Used CRM machine,,0,,,,,,,,,Yes,,1015,11/15/19
