unique_id,a_hhid,resp_id.y,plot_id,district,pv_paddy,pv_visit_date,sc_manage_status,sc_manage_type,geometry,sc_burn_straw_stub,sc_burn_straw_ash,sc_burn_resid,sc_burn_stand_stub,sc_burn_grass,sc_burn_trees_burnt,sc_burn_realtime,sc_burn_change_any,burn_index
1101200141,10120014,101200141,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Burnt,"list(c(75.1712575927376, 75.1712649688124, 75.1691899448633, 75.1692087203264, 75.1712575927376, 30.5121102912873, 30.5116966604805, 30.5117333442894, 30.5132096394724, 30.5121102912873))",0,0,1,0,0,0,0,NA,1
1101200271,10120027,101200271,p1,Bathinda,Yes,11-Nov-19,Stubble managed,Incorporated stubble into the soil,"list(c(75.1437552273273, 75.1446883007883, 75.1446997001767, 75.1444264501333, 75.1443952694535, 75.1441974565386, 75.1441082730889, 75.1437552273273, 30.5101799028488, 30.5107737837269, 30.5087125162534, 30.5086934516362, 30.5087284034316, 30.5090467241637, 30.5092237932305, 30.5101799028488))",0,0,0,0,0,0,0,NA,0
1101200291,10120029,101200291,p1,Bathinda,Yes,11-Nov-19,Stubble managed,Incorporated stubble into the soil,"list(c(75.1573399454355, 75.1576986908912, 75.1576836034655, 75.1574304699897, 75.1574321463704, 75.157325528562, 75.1573399454355, 30.512339924949, 30.5123272156788, 30.5119063645872, 30.5119144523398, 30.5119488252809, 30.5119540245483, 30.512339924949))",0,0,0,0,0,0,0,NA,0
1101201651,10120165,101201651,p1,Bathinda,Yes,12-Nov-19,Stubble managed,.d,"list(c(75.1657084375619, 75.1664735376834, 75.1664212346076, 75.1656806096434, 75.1657084375619, 30.5106709524727, 30.5106848173672, 30.5093448239406, 30.5092983181247, 30.5106709524727))",0,0,0,0,0,0,0,NA,0
1101400021,10140002,101400021,p1,Bathinda,Yes,12-Nov-19,Stubble managed,Burnt,"list(c(74.8306096717715, 74.8308105021715, 74.8311021924018, 74.8310626298189, 74.8310113325715, 74.8309187963604, 74.8306096717715, 30.0433442679586, 30.0443118925262, 30.0441998644907, 30.0438364980739, 30.0438414319718, 30.0433079891092, 30.0433442679586))",0,0,0,0,0,0,0,NA,0
1101400071,10140007,101400071,p1,Bathinda,Yes,10-Nov-19,Stubble managed,Used CRM machine,"list(c(74.8311484605074, 74.8310083150863, 74.8296947032213, 74.8299304023385, 74.8311484605074, 30.0536321232451, 30.0530891564393, 30.0525981331192, 30.0538230750539, 30.0536321232451))",1,0,0,0,1,1,0,NA,3
1101400471,10140047,101400471,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Incorporated stubble into the soil,"list(c(74.8301788419485, 74.8299719765782, 74.8288390785455, 74.8291083052754, 74.8297610878944, 74.8301788419485, 30.0411976981367, 30.0401142373782, 30.0402599378536, 30.0405403090819, 30.0412899934694, 30.0411976981367))",0,0,0,0,0,0,0,NA,0
1101400731,10140073,101400731,p1,Bathinda,No,10-Nov-19,NA,.s,"list(c(74.816662184894, 74.8143705725669, 74.8148580640554, 74.8168244585394, 74.816662184894, 30.0329740711035, 30.0333215130531, 30.0340071050397, 30.0337609658714, 30.0329740711035))",1,1,0,0,1,0,0,NA,3
1101400741,10140074,101400741,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Created bales,"list(c(74.8495272919535, 74.8491997271776, 74.8499473929405, 74.8491544649004, 74.8489009961485, 74.8487554863095, 74.8485439270734, 74.8482931405305, 74.8491631820798, 74.8495272919535, 30.0584522378431, 30.0580689007736, 30.0574653087383, 30.0567824908125, 30.0567520207146, 30.0567520207146, 30.057704134296, 30.0586611718813, 30.0589603530489, 30.0584522378431))",0,0,0,0,0,0,0,NA,0
1101400811,10140081,101400811,p1,Bathinda,Yes,10-Nov-19,Stubble managed,Created bales,"list(c(74.8569151014089, 74.8567260056734, 74.8564011231064, 74.8572285845875, 74.8575276508927, 74.8579859733581, 74.8573533073067, 74.856931194663, 74.8569151014089, 30.0584165449008, 30.0583825930657, 30.0590990613727, 30.0593172799322, 30.0586861278619, 30.0575799334703, 30.0573736088571, 30.0584278621766, 30.0584165449008))",1,0,0,0,1,0,0,NA,2
1101400971,10140097,101400971,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Burnt,"list(c(74.8346755653619, 74.8349759727716, 74.8359613493084, 74.8357028514147, 74.8346755653619, 30.0494502443448, 30.050927997161, 30.0507614173296, 30.0493567957625, 30.0494502443448))",0,0,0,0,0,0,0,NA,0
1101401011,10140101,101401011,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Burnt,"list(c(74.8432019725441, 74.8441166058182, 74.8448840528726, 74.8447351902723, 74.8442768678069, 74.8442564159631, 74.8440411686897, 74.8440646380186, 74.8436619713902, 74.8436096683144, 74.8433240130543, 74.8432780802249, 74.8431205004453, 74.8432019725441, 30.0516604807604, 30.0515580378571, 30.0515026083666, 30.050448861733, 30.0503835644783, 30.0507202076416, 30.0507175957594, 30.0503591868254, 30.0503551238827, 30.0505881623993, 30.0505724910841, 30.0509047804766, 30.0509143573596, 30.0516604807604
))",0,0,0,0,0,0,0,NA,0
1102300751,10230075,102300751,p1,Bathinda,Yes,11-Nov-19,Stubble managed,Burnt,"list(c(75.1898473128676, 75.1895412057638, 75.1882718503475, 75.1882939785718, 75.1898473128676, 30.1529504007883, 30.1523865259745, 30.1524627724745, 30.1530069330468, 30.1529504007883))",0,0,0,0,0,0,0,NA,0
1102301081,10230108,102301081,p1,Bathinda,No,11-Nov-19,NA,.s,"list(c(75.1907233893871, 75.1901695132255, 75.1901544257998, 75.1907056197524, 75.1907233893871, 30.1866648325824, 30.1867097531148, 30.1877519037152, 30.1878217471181, 30.1866648325824))",0,0,0,0,0,0,0,NA,0
1102302421,10230242,102302421,p1,Bathinda,Yes,15-Nov-19,Stubble management ongoing,Used CRM machine,"list(c(75.1939812675118, 75.1947342976927, 75.1947017759084, 75.1955366134643, 75.1955567300319, 75.193923600018, 75.1939812675118, 30.2082953205282, 30.2081968067411, 30.2079447268956, 30.2076900386717, 30.2069337933038, 30.2069972485983, 30.2082953205282))",1,0,1,0,0,1,0,NA,3
1102303051,10230305,102303051,p1,Bathinda,Yes,15-Nov-19,Stubble managed,Burnt,"list(c(75.1867838948965, 75.1854816824197, 75.1855815947055, 75.1868630200624, 75.1867838948965, 30.1691019433501, 30.1692167284827, 30.1704573269412, 30.1704671821, 30.1691019433501))",1,0,1,0,0,0,1,NA,2
