resp_id,plot_id,district,village,startdate,pv_nonpaddy,pv_only_straw,pv_straw_stubble,pv_stand_stubble,pv_straw_collect,pv_burnt_roots2,pv_burnt_roots1,pv_wet_ash,pv_float_ash,pv_ash_visible,pv_burnt_grass,pv_trees_burnt,pv_visit_date,pv_burnt_alt,pv_burnt,pv_burnt_any,pv_paddy,p_burnt,p_burnt_alt,p_burnt_visit,plot_gpslatitude,plot_gpslongitude,plot_gpsaltitude,plot_gpsaccuracy,sowed,stubble_present,manage_stubble,if_tilled
100100131,p1,Bathinda,Ablu,6-Nov-19,No,.s,.s,.s,.s,No,.s,.s,.s,No,No,No,21859,0,0,0,1,0,0,,30.305494,74.746445,186.39999,4.9000001,No,Rolled bales are visible,,No
100100131,p1,Bathinda,Ablu,13-Nov-19,No,.s,.s,.s,.s,.s,"No, there are no burnt roots and stems visible.",,,,No,No,21866,0,0,0,1,0,0,,,,,,Yes,No,,Yes
100100331,p1,Bathinda,Ablu,30-Oct-19,No,.s,.s,.s,.s,No,.s,.s,.s,No,No,No,21852,0,0,0,1,0,0,,30.309189,74.737602,186.2,4.8000002,,No,,No
100100331,p1,Bathinda,Ablu,14-Nov-19,No,.s,.s,.s,.s,.s,"No, there are no burnt roots and stems visible.",,,,No,No,21867,0,0,0,1,0,0,,,,,,Yes,No,,Yes
100100331,p2,Bathinda,Ablu,30-Oct-19,No,.s,.s,.s,.s,No,.s,.s,.s,No,No,No,21852,0,0,0,1,0,0,,30.308517,74.73735,189,4.8000002,,Rolled bales are visible,,No
100100331,p2,Bathinda,Ablu,14-Nov-19,No,.s,.s,.s,.s,.s,"No, there are no burnt roots and stems visible.",,,,No,No,21867,0,0,0,1,0,0,,,,,,Yes,No,,Yes
100100331,p3,Bathinda,Ablu,30-Oct-19,No,.s,.s,.s,.s,No,.s,.s,.s,No,No,.s,21852,0,0,0,1,0,0,,30.308184,74.745735,180.5,4.8000002,,Rolled bales are visible,,No
100100331,p3,Bathinda,Ablu,14-Nov-19,No,.s,.s,.s,.s,.s,"No, there are no burnt roots and stems visible.",,,,No,.s,21867,0,0,0,1,0,0,,,,,,Yes,No,,Yes
100100681,p1,Bathinda,Ablu,15-Nov-19,No,.s,.s,.s,.s,.s,"Yes, burnt roots and stems are mixed in the soil.",.s,.s,Yes,Yes,Yes,21868,1,1,1,0,1,1,1,30.301115,74.74514,193.3,2,No,No,,Yes
100100681,p2,Bathinda,Ablu,15-Nov-19,No,.s,.s,.s,.s,.s,"Yes, burnt roots and stems are mixed in the soil.",No,.s,.s,Yes,.s,21868,1,1,1,1,1,1,1,30.319626,74.769531,189.3,3.3,Yes,No,,Yes
