resp_id,plot_id,district,village,plot_gpslatitude,plot_gpslongitude,plot_gpsaltitude,plot_gpsaccuracy,pv_paddy,harvested,sc_manage_status,sc_manage_type,sc_burn_straw_stub,sc_burn_straw_ash,sc_burn_resid,sc_burn_stand_stub,sc_burn_grass,sc_burn_trees_burnt,sc_burn_realtime,sowed,pv_visit_date,village_id,pv_burnt_any,pv_burnt,pv_burnt_alt,sc_burn_change_any
101200141,p1,Bathinda,Aklia Jalal,30.512972,75.169533,207.2,4.8000002,Yes,Yes,Stubble managed,Burnt,0,0,1,0,0,0,0,No,14-Nov-19,1005,1,1,0,
101200271,p1,Bathinda,Aklia Jalal,30.526464,75.13353,219.2,4.6999998,Yes,Yes,Stubble managed,Incorporated stubble into the soil,.s,.s,.s,.s,.s,.s,.s,Yes,11-Nov-19,1005,0,0,0,
101200291,p1,Bathinda,Aklia Jalal,30.51087,75.144753,207.10001,4.8000002,Yes,Yes,Stubble managed,Incorporated stubble into the soil,.s,.s,.s,.s,.s,.s,.s,No,11-Nov-19,1005,0,0,0,
101201601,p3,Bathinda,Aklia Jalal,30.513443,75.161133,227.39999,4.9000001,Yes,Yes,Stubble managed,Incorporated stubble into the soil,.s,.s,.s,.s,.s,.s,.s,No,11-Nov-19,1005,0,0,0,
101201651,p1,Bathinda,Aklia Jalal,30.510801,75.163742,184,4.9000001,Yes,Yes,Stubble managed,.d,.s,.s,.s,.s,.s,.s,.s,No,12-Nov-19,1005,0,0,0,
101400021,p1,Bathinda,Amarpura Urf Gurthuri,30.04422,74.831093,195.60001,4.3000002,Yes,Yes,Stubble managed,Burnt,1,0,0,0,1,1,0,No,12-Nov-19,1007,1,1,1,
101400071,p1,Bathinda,Amarpura Urf Gurthuri,30.052908,74.830643,199.89999,3.9000001,Yes,Yes,Stubble managed,Used CRM machine,.s,.s,.s,.s,.s,.s,.s,No,10-Nov-19,1007,0,0,0,
101400291,p2,Bathinda,Amarpura Urf Gurthuri,30.03607,74.823372,186.39999,4.6999998,Yes,Yes,Stubble managed,Burnt,1,1,0,0,1,0,0,No,10-Nov-19,1007,1,1,1,
101400471,p1,Bathinda,Amarpura Urf Gurthuri,30.04022,74.828918,190.3,4.8000002,Yes,Yes,Stubble managed,Incorporated stubble into the soil,.s,.s,.s,.s,.s,.s,.s,No,14-Nov-19,1007,0,0,0,
101400481,p2,Bathinda,Amarpura Urf Gurthuri,30.047604,74.839935,191.89999,3.9000001,Yes,Yes,Stubble managed,Burnt,1,0,0,0,1,0,0,No,14-Nov-19,1007,1,1,1,
101400731,p1,Bathinda,Amarpura Urf Gurthuri,30.033346,74.816826,185.60001,4.8000002,No,,,.s,.s,.s,.s,.s,.s,.s,.s,,10-Nov-19,1007,.s,.s,.s,
101400741,p1,Bathinda,Amarpura Urf Gurthuri,30.058764,74.849152,37.799999,4.5999999,Yes,Yes,Stubble managed,Created bales,.s,.s,.s,.s,.s,.s,.s,Yes,14-Nov-19,1007,0,0,0,
101400811,p1,Bathinda,Amarpura Urf Gurthuri,30.057499,74.858002,207,4.6999998,Yes,Yes,Stubble managed,Created bales,.s,.s,.s,.s,.s,.s,.s,Yes,10-Nov-19,1007,0,0,0,
101400831,p2,Bathinda,Amarpura Urf Gurthuri,30.040058,74.829887,195.60001,4.6999998,Yes,Yes,Stubble managed,Created bales,.s,.s,.s,.s,.s,.s,.s,No,14-Nov-19,1007,0,0,0,
